Ti,Te,Rdif,Rdir,precip,ws,wd
23.0,-6.7,65.0,1.0,0.0,3.6,20.0
23.299999999999997,-6.5,33.0,0.0,0.0,3.6,30.0
23.1,-6.6,14.0,1.0,0.0,3.1,30.0
22.9,-6.7,0.0,0.0,0.0,3.1,50.0
22.65,-6.5,0.0,0.0,0.0,2.6,50.0
22.45,-6.7,0.0,0.0,0.0,4.6,40.0
22.45,-6.6,0.0,0.0,0.0,3.1,50.0
22.45,-6.9,0.0,0.0,0.0,4.1,40.0
22.299999999999997,-6.9,0.0,0.0,0.0,4.1,40.0
22.2,-6.5,0.0,0.0,0.0,5.1,40.0
22.1,-6.3,0.0,0.0,0.0,5.1,40.0
21.9,-5.9,0.0,0.0,0.0,5.1,40.0
21.65,-5.6,0.0,0.0,0.0,5.1,40.0
21.45,-5.7,0.0,0.0,0.0,4.6,40.0
21.4,-5.4,0.0,0.0,0.0,3.1,40.0
21.4,-5.7,0.0,0.0,0.0,4.1,50.0
21.35,-5.5,0.0,0.0,0.0,5.7,70.0
21.35,-5.6,0.0,0.0,0.0,6.2,70.0
21.4,-5.8,0.0,0.0,0.0,6.2,60.0
21.4,-6.1,0.0,0.0,0.0,6.2,70.0
21.45,-6.2,1.0,1.0,0.0,5.7,60.0
21.5,-6.5,7.0,1.0,0.0,6.2,70.0
21.55,-6.9,15.0,1.0,0.0,5.1,70.0
21.5,-6.5,25.0,0.0,0.0,6.2,80.0
21.6,-6.1,29.0,1.0,0.0,4.6,70.0
21.8,-5.5,23.0,1.0,0.0,4.6,60.0
21.9,-4.5,6.0,1.0,0.0,5.7,70.0
22.0,-4.0,0.0,0.0,0.0,4.6,60.0
22.0,-3.5,0.0,0.0,0.0,4.6,50.0
21.9,-3.6,0.0,0.0,0.0,4.1,50.0
21.85,-3.1,0.0,0.0,0.0,4.1,60.0
21.95,-2.6,0.0,0.0,0.0,4.1,70.0
22.1,-2.3,0.0,0.0,0.0,3.6,60.0
22.25,-2.2,0.0,0.0,0.0,4.1,60.0
22.35,-2.0,0.0,0.0,0.0,2.6,50.0
22.4,-2.0,0.0,0.0,0.0,2.6,30.0
22.5,-1.9,0.0,0.0,0.0,2.6,40.0
22.65,-1.9,0.0,0.0,0.0,3.6,60.0
22.65,-2.2,0.0,0.0,0.0,3.1,50.0
22.55,-2.4,0.0,0.0,0.0,3.6,40.0
22.5,-2.9,0.0,0.0,0.0,3.6,40.0
22.45,-3.3,0.0,0.0,0.0,5.1,50.0
22.35,-3.6,0.0,0.0,0.0,3.1,50.0
22.35,-3.9,0.0,0.0,0.0,4.1,30.0
22.299999999999997,-4.1,2.0,1.0,0.0,3.6,40.0
22.15,-4.6,15.0,1.0,0.0,2.6,50.0
22.200000000000003,-5.4,33.0,1.0,0.0,4.1,20.0
22.35,-5.7,38.0,1.0,0.0,3.1,50.0
22.4,-6.5,28.0,0.0,0.0,3.6,40.0
22.35,-6.5,23.0,0.0,0.0,3.1,50.0
22.15,-7.2,6.0,0.0,0.0,3.1,50.0
22.0,-7.8,0.0,0.0,0.0,3.1,50.0
22.0,-8.4,0.0,0.0,0.0,3.6,50.0
22.0,-8.7,0.0,0.0,0.0,4.6,40.0
22.0,-8.5,0.0,0.0,0.0,4.6,40.0
22.05,-8.6,0.0,0.0,0.0,4.6,40.0
22.05,-8.9,0.0,0.0,0.0,3.6,40.0
22.0,-9.2,0.0,0.0,0.0,4.6,40.0
22.05,-9.4,0.0,0.0,0.0,4.1,40.0
22.1,-9.8,0.0,0.0,0.0,2.6,40.0
22.0,-10.2,0.0,0.0,0.0,2.1,40.0
21.9,-10.3,0.0,0.0,0.0,2.1,30.0
21.85,-10.2,0.0,0.0,0.0,1.5,30.0
21.75,-10.6,0.0,0.0,0.0,2.6,60.0
21.65,-11.0,0.0,0.0,0.0,1.5,50.0
21.65,-11.4,0.0,0.0,0.0,1.0,40.0
21.7,-12.3,0.0,0.0,0.0,1.5,40.0
21.7,-11.6,0.0,0.0,0.0,1.5,40.0
21.65,-11.8,5.0,1.0,0.0,1.0,20.0
21.700000000000003,-12.1,23.0,3.0,0.0,0.0,0.0
22.15,-11.7,27.0,1.0,0.0,0.0,0.0
22.45,-10.0,47.0,1.0,0.0,0.0,0.0
22.25,-9.1,60.0,0.0,0.0,0.0,0.0
22.0,-8.9,17.0,1.0,0.0,1.0,30.0
21.85,-9.3,7.0,2.0,0.0,1.0,20.0
21.8,-11.5,0.0,0.0,0.0,0.0,0.0
21.8,-9.5,0.0,0.0,0.0,0.0,0.0
21.85,-9.3,0.0,0.0,0.0,0.0,0.0
21.9,-9.3,0.0,0.0,0.0,1.5,40.0
21.9,-9.5,0.0,0.0,0.0,0.0,0.0
21.9,-10.5,0.0,0.0,0.0,0.0,0.0
