Ti,Te,Rdif,Rdir,precip,ws,wd
23.05,-2.7,73.0,358.0,0.0,8.9,340.0
22.75,-1.5,68.0,365.0,0.0,8.7,330.0
22.4,-1.0,67.0,323.0,0.0,10.6,334.0
22.15,-0.7,59.0,251.0,0.0,8.9,349.0
22.0,-0.8,66.0,155.0,0.0,9.5,343.0
21.9,-1.0,39.0,6.0,0.0,6.8,360.0
21.950000000000003,-1.7,2.0,0.0,0.0,6.4,348.0
22.200000000000003,-2.7,0.0,0.0,0.0,5.6,342.0
22.35,-3.3,0.0,0.0,0.0,4.4,349.0
22.45,-4.5,0.0,0.0,0.0,3.2,330.0
22.55,-5.8,0.0,0.0,0.0,3.4,321.0
22.55,-6.2,0.0,0.0,0.0,3.2,332.0
22.45,-9.1,0.0,0.0,0.0,2.6,310.0
22.4,-9.1,0.0,0.0,0.0,4.0,300.0
22.4,-9.0,0.0,0.0,0.0,4.4,301.0
22.4,-10.7,0.0,0.0,0.0,3.1,295.0
22.4,-9.8,0.0,0.0,0.0,2.3,270.0
22.35,-12.7,0.0,0.0,0.0,2.3,271.0
22.4,-12.2,0.0,0.0,0.0,2.5,258.0
22.55,-11.8,4.0,1.0,0.0,2.3,245.0
22.6,-11.4,56.0,9.0,0.0,2.8,232.0
22.5,-8.3,101.0,4.0,0.0,4.4,234.0
22.4,-5.0,135.0,1.0,0.0,5.8,238.0
22.35,-2.9,201.0,10.0,0.0,6.1,223.0
22.200000000000003,-1.1,209.0,12.0,0.0,7.5,224.0
22.05,-0.4,189.0,12.0,0.0,6.7,220.0
21.95,-0.1,210.0,0.0,0.0,7.2,223.0
21.9,0.2,129.0,1.0,0.0,7.3,247.0
21.9,-0.3,56.0,1.0,0.0,8.6,241.0
22.1,-0.6,35.0,0.0,0.0,6.9,246.0
22.55,-1.1,3.0,0.0,0.0,6.0,252.0
23.15,-2.2,0.0,0.0,0.0,5.3,245.0
23.5,-2.2,0.0,0.0,0.0,5.0,250.0
23.55,-2.0,0.0,0.0,0.0,4.0,255.0
23.55,-2.1,0.0,0.0,0.0,3.4,257.0
23.35,-3.6,0.0,0.0,0.0,3.9,230.0
23.1,-4.8,0.0,0.0,0.0,4.1,215.0
22.95,-4.9,0.0,0.0,0.0,5.1,212.0
22.85,-4.1,0.0,0.0,0.0,4.1,213.0
22.75,-4.6,0.0,0.0,0.0,4.2,216.0
22.65,-2.9,0.0,0.0,0.0,5.5,217.0
22.55,-2.4,0.0,0.0,0.0,4.8,234.0
22.6,-2.1,0.0,0.0,0.0,5.3,221.0
22.799999999999997,-1.7,2.0,0.0,0.0,5.0,235.0
22.9,-1.3,35.0,0.0,0.0,6.1,236.0
22.85,-1.1,75.0,1.0,0.0,6.1,235.0
22.85,-0.7,84.0,0.0,0.0,5.9,232.0
22.85,0.1,118.0,0.0,0.0,5.8,227.0
22.8,0.6,114.0,0.0,0.0,6.8,232.0
22.8,0.4,86.0,0.0,0.0,6.8,228.0
22.75,0.1,69.0,0.0,0.0,7.9,222.0
22.7,-0.1,56.0,0.0,0.0,8.5,225.0
22.799999999999997,-0.3,42.0,-1.0,0.0,9.3,219.0
22.799999999999997,-0.3,16.0,0.0,0.0,8.0,223.0
22.7,-0.6,1.0,0.0,0.0,9.7,226.0
22.75,-0.6,0.0,0.0,0.0,9.1,226.0
23.15,-1.6,0.0,0.0,0.0,7.0,221.0
23.5,-1.6,0.0,0.0,0.0,6.5,222.0
23.4,-1.9,0.0,0.0,0.0,6.7,228.0
23.200000000000003,-1.9,0.0,0.0,0.0,7.7,219.0
22.950000000000003,-2.3,0.0,0.0,0.0,8.3,211.0
22.700000000000003,-2.5,0.0,0.0,0.0,7.4,204.0
22.5,-2.5,0.0,0.0,0.0,7.8,208.0
22.35,-2.4,0.0,0.0,0.0,7.5,215.0
22.200000000000003,-2.1,0.0,0.0,0.0,7.9,212.0
22.05,-2.5,0.0,0.0,0.0,6.8,215.0
21.95,-2.4,0.0,0.0,0.0,6.1,208.0
22.0,-2.4,5.0,0.0,0.0,7.7,208.0
22.3,-2.0,36.0,44.0,0.0,8.7,206.0
22.6,-1.7,65.0,131.0,0.0,8.7,208.0
22.65,-1.4,88.0,217.0,0.0,9.1,204.0
22.8,-0.7,99.0,280.0,0.0,8.4,199.0
23.15,-0.3,95.0,334.0,0.0,9.2,197.0
23.3,0.6,95.0,330.0,0.0,9.6,195.0
23.200000000000003,1.0,89.0,293.0,0.0,9.8,198.0
23.0,1.6,79.0,222.0,0.0,8.6,192.0
22.799999999999997,1.5,64.0,134.0,0.0,8.4,194.0
22.549999999999997,1.9,37.0,48.0,0.0,9.7,190.0
22.4,1.7,5.0,0.0,0.0,9.2,184.0
22.45,1.6,0.0,0.0,0.0,10.6,189.0
22.85,1.0,0.0,0.0,0.0,11.3,188.0
23.15,1.4,0.0,0.0,0.0,11.1,190.0
23.1,1.2,0.0,0.0,0.0,10.9,190.0
23.05,1.1,0.0,0.0,0.0,10.6,190.0
22.95,1.0,0.0,0.0,0.0,9.5,185.0
22.799999999999997,0.6,0.0,0.0,0.0,9.1,190.0
22.549999999999997,0.5,0.0,0.0,0.0,11.0,193.0
22.35,0.7,0.0,0.0,0.0,11.4,197.0
22.25,0.9,0.0,0.0,0.0,11.7,200.0
22.15,0.9,0.0,0.0,0.0,10.9,199.0
22.05,0.9,0.0,0.0,0.0,11.2,204.0
22.2,0.9,2.0,0.0,0.0,10.7,204.0
22.5,0.8,20.0,0.0,0.0,10.7,208.0
22.700000000000003,1.0,95.0,3.0,0.0,10.7,218.0
22.9,1.2,150.0,-1.0,0.0,11.2,220.0
23.05,1.0,174.0,0.0,0.0,11.1,221.0
23.200000000000003,1.3,176.0,231.0,0.0,9.9,221.0
23.3,1.2,177.0,-2.0,0.0,8.7,212.0
23.3,1.2,127.0,1.0,0.0,8.0,211.0
23.3,1.3,93.0,1.0,0.0,9.6,198.0
23.25,1.4,46.0,0.0,0.0,10.7,205.0
23.25,1.1,47.0,0.0,0.0,9.7,203.0
23.25,1.1,4.0,0.0,0.0,6.6,196.0
23.299999999999997,1.2,0.0,0.0,0.0,7.1,193.0
23.45,1.0,0.0,0.0,0.0,7.2,182.0
23.45,1.4,0.0,0.0,0.0,9.5,184.0
23.4,-0.1,0.0,0.0,0.3,9.8,170.0
23.299999999999997,0.0,0.0,0.0,0.6,10.4,165.0
23.15,0.0,0.0,0.0,1.5,9.6,163.0
22.9,0.6,0.0,0.0,1.1,11.5,169.0
22.6,0.6,0.0,0.0,0.8,10.6,175.0
22.4,0.5,0.0,0.0,1.0,10.9,176.0
22.25,0.1,0.0,0.0,1.1,9.3,179.0
22.1,0.5,0.0,0.0,0.7,10.7,183.0
21.95,0.6,0.0,0.0,0.0,9.9,184.0
22.0,0.7,1.0,0.0,0.3,9.4,183.0
22.35,0.8,6.0,0.0,0.0,8.1,175.0
22.9,0.1,42.0,0.0,0.5,8.7,170.0
23.4,0.0,68.0,0.0,1.6,7.4,175.0
23.700000000000003,0.4,98.0,1.0,1.1,9.3,196.0
23.9,0.7,91.0,1.0,0.1,8.9,196.0
24.1,0.7,97.0,0.0,0.4,8.0,197.0
24.25,0.5,107.0,0.0,0.5,9.2,199.0
24.35,0.4,95.0,1.0,0.6,7.2,219.0
24.5,0.3,167.0,-1.0,0.4,7.6,259.0
24.6,0.1,35.0,0.0,0.0,6.2,268.0
24.4,-0.3,14.0,0.0,0.2,9.7,278.0
24.35,-0.9,0.0,0.0,0.0,7.2,270.0
24.85,-1.6,0.0,0.0,0.0,6.8,256.0
25.2,-2.4,0.0,0.0,0.0,6.7,250.0
25.1,-3.0,0.0,0.0,0.0,6.6,243.0
24.95,-3.3,0.0,0.0,0.0,5.8,236.0
24.85,-3.6,0.0,0.0,0.0,6.3,240.0
24.700000000000003,-3.7,0.0,0.0,0.0,6.3,241.0
24.5,-4.1,0.0,0.0,0.0,5.1,228.0
24.299999999999997,-5.1,0.0,0.0,0.0,4.3,215.0
24.1,-4.8,0.0,0.0,0.0,4.7,206.0
23.95,-2.9,0.0,0.0,0.0,4.7,204.0
23.799999999999997,-1.9,0.0,0.0,0.0,5.0,210.0
23.7,-1.3,3.0,0.0,0.0,5.1,212.0
23.75,-0.8,41.0,0.0,0.0,4.8,217.0
23.8,0.0,135.0,-1.0,0.0,4.8,224.0
23.700000000000003,0.7,99.0,0.0,0.0,4.6,227.0
23.6,0.7,268.0,4.0,0.0,4.3,233.0
23.65,0.9,207.0,51.0,0.0,5.1,250.0
23.9,1.9,256.0,402.0,0.0,6.7,238.0
24.0,2.1,134.0,16.0,0.0,7.7,238.0
23.85,2.5,87.0,216.0,0.0,7.4,252.0
23.75,2.8,72.0,195.0,0.0,8.5,247.0
23.65,2.4,50.0,89.0,0.0,6.1,253.0
23.700000000000003,1.5,9.0,6.0,0.0,5.3,253.0
24.1,-0.7,0.0,0.0,0.0,4.5,233.0
24.45,-1.5,0.0,0.0,0.0,5.1,224.0
24.5,-2.2,0.0,0.0,0.0,4.9,232.0
24.35,-2.9,0.0,0.0,0.0,2.3,230.0
24.1,-4.4,0.0,0.0,0.0,3.3,227.0
23.95,-3.8,0.0,0.0,0.0,2.3,204.0
23.75,-2.7,0.0,0.0,0.0,4.4,215.0
23.5,-2.0,0.0,0.0,0.0,4.8,214.0
23.299999999999997,-2.0,0.0,0.0,0.0,3.9,226.0
23.15,-1.4,0.0,0.0,0.0,4.8,214.0
23.0,-1.2,0.0,0.0,0.0,4.7,220.0
22.799999999999997,-1.3,0.0,0.0,0.0,4.2,209.0
22.65,-1.2,6.0,0.0,0.0,5.3,205.0
22.6,-1.4,37.0,0.0,0.0,6.0,210.0
22.65,-0.9,68.0,0.0,0.0,4.3,211.0
22.7,-0.5,149.0,0.0,0.0,5.0,207.0
22.6,-0.2,187.0,0.0,0.0,4.2,200.0
22.55,0.0,166.0,0.0,0.0,2.9,204.0
22.8,0.4,163.0,0.0,0.0,2.5,171.0
22.85,0.2,142.0,-1.0,0.0,2.9,187.0
22.7,-0.3,109.0,0.0,0.0,3.8,191.0
22.7,-0.5,46.0,0.0,0.0,2.7,187.0
22.85,-0.6,26.0,1.0,0.0,1.1,221.0
23.2,-0.1,5.0,0.0,0.0,2.0,142.0
23.5,-0.2,0.0,0.0,0.0,2.0,83.0
23.6,-0.3,0.0,0.0,0.0,2.3,90.0
23.6,-0.1,0.0,0.0,0.0,2.9,110.0
23.55,-0.1,0.0,0.0,0.0,2.6,101.0
23.5,0.1,0.0,0.0,0.0,3.3,106.0
23.5,0.2,0.0,0.0,0.2,2.5,96.0
23.35,0.2,0.0,0.0,0.1,2.3,77.0
23.049999999999997,0.1,0.0,0.0,0.0,2.4,79.0
22.85,-0.3,0.0,0.0,0.0,2.8,93.0
22.75,-0.6,0.0,0.0,0.0,3.0,95.0
22.65,-0.5,0.0,0.0,0.0,2.3,102.0
22.55,-0.8,0.0,0.0,0.0,1.6,82.0
22.45,-0.6,10.0,0.0,0.0,2.2,118.0
22.45,-0.9,76.0,7.0,0.0,2.1,119.0
22.65,0.7,145.0,5.0,0.0,2.3,144.0
22.8,1.5,211.0,35.0,0.0,1.6,210.0
22.8,3.3,176.0,47.0,0.0,0.0,0.0
22.700000000000003,3.8,279.0,29.0,0.0,1.3,221.0
22.65,3.5,163.0,3.0,0.0,3.0,228.0
22.65,4.3,135.0,1.0,0.0,5.8,290.0
22.5,2.9,58.0,1.0,0.0,8.1,309.0
22.4,2.0,118.0,2.0,0.2,6.7,329.0
22.6,2.1,57.0,3.0,0.0,6.8,339.0
23.200000000000003,2.0,10.0,0.0,0.0,7.7,335.0
24.1,1.0,0.0,0.0,0.0,9.8,338.0
25.200000000000003,-0.1,0.0,0.0,0.0,9.1,351.0
25.8,-0.8,0.0,0.0,0.0,7.8,1.0
26.15,-1.7,0.0,0.0,0.0,6.6,349.0
26.6,-2.8,0.0,0.0,0.0,7.2,348.0
26.75,-3.5,0.0,0.0,0.0,6.4,340.0
26.75,-3.9,0.0,0.0,0.0,7.2,348.0
26.7,-4.5,0.0,0.0,0.0,6.8,356.0
26.65,-5.0,0.0,0.0,0.0,5.9,346.0
26.5,-5.2,0.0,0.0,0.0,6.6,345.0
26.35,-5.6,0.0,0.0,0.0,6.3,346.0
26.25,-6.2,0.0,0.0,0.0,7.5,348.0
26.15,-6.3,12.0,12.0,0.0,7.3,353.0
26.15,-6.0,34.0,104.0,0.0,8.7,8.0
26.25,-5.3,47.0,220.0,0.0,8.3,6.0
26.3,-4.4,57.0,322.0,0.0,6.0,4.0
26.25,-3.1,65.0,394.0,0.0,4.2,1.0
26.2,-2.0,68.0,432.0,0.0,4.6,2.0
26.1,-1.0,67.0,431.0,0.0,4.2,352.0
25.95,0.1,64.0,390.0,0.0,3.8,12.0
25.75,0.2,57.0,319.0,0.0,5.2,18.0
25.4,0.3,48.0,218.0,0.0,5.0,36.0
25.0,-0.1,33.0,106.0,0.0,5.8,21.0
24.65,-1.0,11.0,14.0,0.0,5.5,23.0
24.5,-2.0,0.0,0.0,0.0,3.0,11.0
24.85,-3.8,0.0,0.0,0.0,2.4,1.0
25.299999999999997,-4.2,0.0,0.0,0.0,2.0,42.0
25.35,-4.1,0.0,0.0,0.0,2.7,36.0
25.200000000000003,-4.4,0.0,0.0,0.0,2.4,41.0
24.9,-5.6,0.0,0.0,0.0,3.4,15.0
24.6,-6.1,0.0,0.0,0.0,3.5,42.0
24.4,-7.0,0.0,0.0,0.0,2.6,20.0
24.200000000000003,-7.1,0.0,0.0,0.0,2.6,37.0
24.0,-8.1,0.0,0.0,0.0,1.7,33.0
23.85,-8.7,0.0,0.0,0.0,2.2,47.0
23.85,-10.2,0.0,0.0,0.0,1.1,41.0
23.95,-8.6,14.0,21.0,0.0,2.1,54.0
24.05,-6.8,35.0,126.0,0.0,1.8,56.0
24.200000000000003,-4.9,49.0,229.0,0.0,2.3,58.0
24.200000000000003,-0.9,58.0,325.0,0.0,0.7,69.0
24.0,-0.8,65.0,400.0,0.0,1.7,139.0
23.799999999999997,-0.1,69.0,436.0,0.0,2.4,151.0
23.5,0.3,68.0,437.0,0.0,2.4,157.0
23.200000000000003,0.9,65.0,396.0,0.0,2.5,88.0
23.05,1.3,59.0,323.0,0.0,2.8,57.0
22.95,0.7,49.0,222.0,0.0,2.5,130.0
22.9,-0.1,35.0,110.0,0.0,2.5,153.0
22.9,-1.4,13.0,15.0,0.0,1.9,133.0
23.15,-3.6,0.0,0.0,0.0,3.6,139.0
23.799999999999997,-4.6,0.0,0.0,0.0,1.6,123.0
24.4,-4.9,0.0,0.0,0.0,1.7,91.0
24.85,-5.6,0.0,0.0,0.0,3.3,65.0
25.200000000000003,-6.7,0.0,0.0,0.0,3.5,81.0
25.3,-7.2,0.0,0.0,0.0,4.0,92.0
25.35,-7.4,0.0,0.0,0.0,3.2,88.0
25.35,-8.4,0.0,0.0,0.0,3.2,82.0
25.3,-9.3,0.0,0.0,0.0,3.2,96.0
25.25,-8.9,0.0,0.0,0.0,2.7,90.0
25.1,-10.2,0.0,0.0,0.0,3.6,94.0
25.05,-10.3,0.0,0.0,0.0,3.5,94.0
25.05,-10.0,15.0,17.0,0.0,3.5,93.0
25.1,-8.1,36.0,113.0,0.0,3.0,96.0
25.25,-4.9,57.0,232.0,0.0,3.5,113.0
25.3,-3.6,87.0,298.0,0.0,3.7,133.0
25.25,-2.3,139.0,328.0,0.0,4.3,112.0
25.15,-0.9,134.0,373.0,0.0,4.9,130.0
25.200000000000003,0.0,188.0,197.0,0.0,7.2,119.0
25.15,0.3,195.0,182.0,0.0,5.9,124.0
24.9,-0.2,180.0,44.0,0.0,7.2,119.0
24.75,-0.7,131.0,7.0,0.0,6.7,116.0
24.4,-1.4,63.0,2.0,0.0,6.3,107.0
24.05,-1.6,14.0,0.0,0.0,5.5,108.0
24.0,-1.8,0.0,0.0,0.0,5.8,111.0
24.3,-1.5,0.0,0.0,0.0,6.3,113.0
24.65,-1.2,0.0,0.0,0.0,5.1,118.0
24.65,-0.8,0.0,0.0,0.0,5.5,118.0
24.55,-0.5,0.0,0.0,0.0,7.0,125.0
24.45,-1.1,0.0,0.0,0.0,6.8,129.0
24.2,-1.1,0.0,0.0,0.0,5.4,121.0
23.9,-1.5,0.0,0.0,0.0,5.5,121.0
23.700000000000003,-2.2,0.0,0.0,0.0,5.5,117.0
23.5,-2.8,0.0,0.0,0.0,4.5,121.0
23.299999999999997,-3.0,0.0,0.0,0.0,3.6,118.0
23.25,-3.5,0.0,0.0,0.0,4.5,121.0
23.4,-3.6,29.0,20.0,0.0,4.8,115.0
23.65,-2.9,53.0,99.0,0.0,5.7,122.0
23.9,-1.8,74.0,233.0,0.0,6.2,124.0
24.05,-1.3,91.0,325.0,0.0,7.0,131.0
24.05,-0.4,77.0,407.0,0.0,6.7,130.0
23.9,0.4,88.0,390.0,0.0,6.8,127.0
23.65,1.2,121.0,361.0,0.0,7.8,137.0
23.35,1.3,172.0,114.0,0.0,7.1,128.0
23.049999999999997,1.3,171.0,47.0,0.0,8.3,117.0
22.85,1.3,149.0,11.0,0.0,8.1,115.0
22.85,1.1,67.0,2.0,0.0,7.2,116.0
22.85,1.0,14.0,1.0,0.0,7.5,116.0
22.85,0.6,0.0,0.0,0.0,6.4,126.0
22.9,0.1,0.0,0.0,0.0,5.5,131.0
22.9,-0.6,0.0,0.0,0.0,4.5,137.0
22.9,-0.5,0.0,0.0,0.0,4.1,131.0
22.799999999999997,-0.8,0.0,0.0,0.0,4.8,127.0
22.549999999999997,-1.6,0.0,0.0,0.0,5.0,130.0
22.299999999999997,-2.2,0.0,0.0,0.0,5.2,135.0
22.15,-1.7,0.0,0.0,0.0,5.3,144.0
22.1,-2.3,0.0,0.0,0.0,4.9,143.0
22.1,-2.8,0.0,0.0,0.0,3.9,145.0
22.05,-3.2,0.0,0.0,0.0,3.9,132.0
22.0,-3.5,0.0,0.0,0.0,3.5,131.0
22.0,-2.7,10.0,1.0,0.0,3.6,137.0
22.15,-2.0,32.0,0.0,0.0,3.0,149.0
22.35,-1.8,49.0,1.0,0.0,3.3,130.0
22.35,-1.8,78.0,2.0,0.0,3.2,139.0
22.3,-2.2,128.0,3.0,0.2,3.1,133.0
22.450000000000003,-2.3,96.0,2.0,0.5,2.2,128.0
22.65,-1.7,98.0,6.0,0.7,1.7,124.0
22.549999999999997,-1.8,76.0,4.0,0.5,2.6,127.0
22.299999999999997,-1.7,92.0,5.0,0.5,1.6,135.0
22.299999999999997,-1.4,84.0,4.0,0.2,1.5,128.0
22.5,-1.6,59.0,3.0,0.0,0.9,269.0
22.950000000000003,-1.9,18.0,1.0,0.2,0.0,0.0
23.35,-2.8,0.0,0.0,0.0,0.8,240.0
23.4,-2.8,0.0,0.0,0.0,2.0,287.0
23.45,-2.8,0.0,0.0,0.3,2.6,287.0
23.55,-2.7,0.0,0.0,0.0,1.5,304.0
